x,y,Distance
60,110,130
60,117,145
60,103,135
45,109,175
45,117,148
60,102,127
60,110,136
45,104,134
30,109,133
60,98,124
60,103,147
60,100,120
60,106,128
60,104,132
60,98,123
60,98,120
60,100,120
45,90,112
60,103,123
45,97,125
60,108,131
45,100,119
60,130,101
45,105,132
60,102,126
60,100,120
60,92,118
60,103,132
60,100,132
60,102,129
60,92,115
45,90,112
60,101,124
60,93,113
60,107,136
60,114,140
60,102,127
60,100,120
60,100,120
45,104,129
45,90,112
60,98,126
60,100,122
60,111,138
60,111,131
60,99,119
60,109,153
45,111,136
45,108,129
60,111,139
60,107,136
80,123,146
60,106,130
60,118,151
30,136,175
60,121,146
60,118,121
45,115,144
20,153,172
45,123,152
210,108,160
160,110,137
160,109,135
45,118,141
20,110,130
180,90,130
150,105,135
150,107,130
20,106,136
300,108,143
150,97,129
60,109,153
90,100,127
150,97,127
45,114,146
90,98,125
45,105,134
45,110,141
120,100,130
270,100,131
30,159,182
45,149,169
30,103,139
120,100,130
45,100,120
30,151,170
45,102,136
120,100,157
45,129,103
20,83,107
180,101,127
45,107,137
30,90,107
15,80,100
20,150,171
20,151,168
30,95,128
25,152,168
30,109,131
90,93,124
20,95,112
90,90,110
90,90,100
90,90,100
30,92,108
30,93,128
180,90,120
30,90,120
90,90,120
210,137,184
60,102,124
45,107,124
15,124,139
45,100,120
60,108,131
60,108,151
60,116,141
60,97,122
60,105,125
60,103,124
30,112,137
45,100,120
60,119,169
60,107,127
60,111,151
60,98,122
60,97,124
60,109,127
90,99,125
60,114,151
60,104,134
60,107,138
60,103,133
60,106,132
60,103,136
20,136,156
45,117,143
45,115,137
45,113,138
20,141,162
60,108,135
60,97,127
45,100,120
45,122,149
60,136,170
45,106,126
60,107,136
60,112,146
30,103,127
60,110,150
60,106,134
60,109,129
60,109,138
30,150,167
60,105,128
60,111,151
60,97,131
60,100,120
60,114,150
30,80,120
30,85,120
45,90,130
45,95,130
45,100,140
60,105,140
60,110,145
60,115,145
75,120,150
75,125,150
