x,y,Distance
-18,0,35.24
-18,10,36.26
-18,20,40.53
-18,30,203.51
-18,40,202.50
-18,50,200.72
-12,0,35.38
-12,10,35.31
-12,20,35.79
-12,30,36.60
-12,40,35.55
-12,50,37.98
-6,0,35.55
-6,10,35.87
-6,20,35.96
-6,30,36.84
-6,40,37.26
-6,50,38.59
0,0,36.67
0,10,36.98
0,20,36.55
0,30,37.50
0,40,37.60
0,50,37.91
6,0,38.03
6,10,37.88
6,20,38.03
6,30,38.45
6,40,38.56
6,50,40.39
12,0,38.96
12,10,38.98
12,20,39.39
12,30,39.85
12,40,41.23
12,50,202.11
18,0,40.02
18,10,40.04
18,20,41.74
18,30,42.16
18,40,100.38
18,50,201.38
