x,y,Distance
-18,0,35.41
-18,10,36.36
-18,20,37.30
-18,30,96.59
-18,40,199.07
-18,50,198.58
-12,0,36.01
-12,10,36.07
-12,20,37.86
-12,30,97.27
-12,40,203.80
-12,50,200.38
-6,0,37.20
-6,10,37.18
-6,20,38.98
-6,30,200.80
-6,40,200.23
-6,50,200.58
0,0,38.37
0,10,38.39
0,20,39.61
0,30,98.72
0,40,201.74
0,50,201.01
6,0,39.56
6,10,39.47
6,20,41.23
6,30,189.07
6,40,200.52
6,50,199.97
12,0,41.58
12,10,41.68
12,20,97.33
12,30,98.77
12,40,99.62
12,50,199.56
18,0,68.43
18,10,70.11
18,20,70.18
18,30,98.18
18,40,187.00
18,50,199.38
