x,y,Distance
-18,0,39.78
-18,6,41.09
-18,12,1182.45
-18,18,40.27
-18,24,1182.21
-18,30,1182.50
-12,0,39.44
-12,6,39.10
-12,12,40.73
-12,18,1182.67
-12,24,1182.47
-12,30,38.28
-6,0,1182.67
-6,6,1182.66
-6,12,1182.72
-6,18,1182.37
-6,24,462.94
-6,30,464.19
0,0,1182.55
0,6,1182.55
0,12,1182.27
0,18,1182.62
0,24,465.61
0,30,464.44
6,0,1182.61
6,6,1182.52
6,12,1182.30
6,18,462.54
6,24,1182.69
6,30,462.43
12,0,412.79
12,6,38.44
12,12,413.98
12,18,461.57
12,24,1182.74
12,30,470.70
18,0,413.13
18,6,413.15
18,12,414.43
18,18,1182.61
18,24,462.11
18,30,469.71
