x,y,Distance
-18,0,33.54
-18,10,32.88
-18,20,33.18
-18,30,32.76
-18,40,32.64
-18,50,33.07
-12,0,33.30
-12,10,33.18
-12,20,33.58
-12,30,33.24
-12,40,33.13
-12,50,33.42
-6,0,37.03
-6,10,36.13
-6,20,36.91
-6,30,36.98
-6,40,37.08
-6,50,39.37
0,0,37.77
0,10,38.62
0,20,37.72
0,30,37.77
0,40,38.62
0,50,200.52
6,0,40.80
6,10,41.62
6,20,41.11
6,30,39.97
6,40,42.64
6,50,200.96
12,0,73.80
12,10,70.89
12,20,70.53
12,30,101.51
12,40,188.97
12,50,202.47
18,0,71.54
18,10,70.72
18,20,70.75
18,30,74.26
18,40,100.69
18,50,202.18
