x,y,Distance
-18,0,85.27
-18,10,36.43
-18,20,35.62
-18,30,35.68
-18,40,36.62
-18,50,207.43
-12,0,35.31
-12,10,35.73
-12,20,35.85
-12,30,36.21
-12,40,37.21
-12,50,204.83
-6,0,36.43
-6,10,36.45
-6,20,36.45
-6,30,36.92
-6,40,37.84
-6,50,206.36
0,0,37.20
0,10,37.21
0,20,37.09
0,30,37.69
0,40,39.05
0,50,189.19
6,0,38.91
6,10,38.45
6,20,38.51
6,30,38.88
6,40,40.65
6,50,206.89
12,0,40.53
12,10,39.66
12,20,39.64
12,30,41.02
12,40,205.68
12,50,206.14
18,0,40.29
18,10,108.83
18,20,109.26
18,30,110.59
18,40,190.01
18,50,207.57
