x,y,Distance
-18,0,77.79
-18,6,1182.66
-18,12,32.61
-18,18,32.18
-18,24,31.76
-18,30,32.40
-12,0,31.71
-12,6,31.25
-12,12,31.11
-12,18,31.48
-12,24,8.60
-12,30,32.30
-6,0,32.64
-6,6,31.59
-6,12,30.62
-6,18,30.29
-6,24,1182.54
-6,30,1182.74
0,0,33.58
0,6,33.44
0,12,31.28
0,18,34.36
0,24,33.12
0,30,33.95
6,0,31.35
6,6,32.74
6,12,32.49
6,18,31.76
6,24,32.95
6,30,32.64
12,0,31.40
12,6,31.45
12,12,31.25
12,18,31.65
12,24,31.33
12,30,30.89
18,0,31.59
18,6,30.69
18,12,31.47
18,18,30.70
18,24,30.69
18,30,30.77
