x,y,Distance
-18,0,35.07
-18,10,34.90
-18,20,34.99
-18,30,35.92
-18,40,36.86
-18,50,201.30
-12,0,99.14
-12,10,37.84
-12,20,36.04
-12,30,36.21
-12,40,36.79
-12,50,37.74
-6,0,37.72
-6,10,40.63
-6,20,37.21
-6,30,37.26
-6,40,37.40
-6,50,39.24
0,0,39.41
0,10,75.99
0,20,96.31
0,30,97.73
0,40,100.27
0,50,201.93
6,0,38.86
6,10,39.75
6,20,71.13
6,30,96.54
6,40,99.30
6,50,200.65
12,0,39.87
12,10,40.29
12,20,41.17
12,30,97.44
12,40,97.87
12,50,100.98
18,0,40.87
18,10,41.63
18,20,42.64
18,30,99.55
18,40,100.81
18,50,201.40
