x,y,Distance
-18,0,35.26
-18,10,35.73
-18,20,38.23
-18,30,187.58
-18,40,206.31
-18,50,205.92
-12,0,36.40
-12,10,38.47
-12,20,74.66
-12,30,187.17
-12,40,204.68
-12,50,205.04
-6,0,37.33
-6,10,84.97
-6,20,40.58
-6,30,38.90
-6,40,39.85
-6,50,205.38
0,0,38.54
0,10,39.88
0,20,39.24
0,30,38.52
0,40,40.75
0,50,206.72
6,0,39.00
6,10,39.93
6,20,41.74
6,30,42.70
6,40,188.43
6,50,206.02
12,0,39.41
12,10,40.72
12,20,42.48
12,30,112.35
12,40,191.27
12,50,208.05
18,0,40.46
18,10,41.29
18,20,111.62
18,30,113.39
18,40,189.96
18,50,208.69
