x,y,Distance
-18,0,34.85
-18,10,34.87
-18,20,35.28
-18,30,35.63
-18,40,36.75
-18,50,40.22
-12,0,36.02
-12,10,36.02
-12,20,36.50
-12,30,36.98
-12,40,39.07
-12,50,203.56
-6,0,36.89
-6,10,36.98
-6,20,37.09
-6,30,37.55
-6,40,39.30
-6,50,204.78
0,0,43.32
0,10,39.53
0,20,37.86
0,30,39.22
0,40,41.87
0,50,204.46
6,0,74.90
6,10,75.75
6,20,185.76
6,30,187.54
6,40,205.94
6,50,205.97
12,0,75.58
12,10,76.47
12,20,113.27
12,30,187.60
12,40,187.60
12,50,205.38
18,0,77.40
18,10,78.56
18,20,110.38
18,30,188.26
18,40,190.93
18,50,207.81
